hhid,personid,trip_num,gender,age,hhincome_broad,transit_freq,traveldate,count_of_legs,o_name_across_legs_string,d_name_across_legs_string,d_purpose_across_legs_string,o_name_recode_linked,o_address_recode_2_linked,o_lat_recode_2_linked,o_lng_recode_2_linked,origin_county_linked,origin_town_linked,origin_bg_geoid_linked,o_geoid,d_name_linked,d_address_recode_linked,d_lat_recode_linked,d_lng_recode_linked,destination_county_recode_linked,destination_town_recode_linked,destination_bg_geoid_recode_linked,d_geoid,departure_time_linked,arrival_time_linked,weekday,departure_time_hhmm_linked,arrival_time_hhmm_linked,departure_hour_linked,arrival_hour_linked,reported_duration_linked_recode,travelers_hh_linked,travelers_nonhh_linked,o_purpose_recode_3_linked,d_purpose_recode_3_linked,t_purpose_recode_linked,primary_mode_linked,primary_mode_category_linked,mode_across_legs_string,transit_access_linked,transit_egress_linked,transit_cost_linked,transit_pay_linked_recode,transit_transfers_llinked,transit_system_linked,transit_line_linked,gdistance_linked,gduration_linked,O_to_D,gis_duration,path_details
16231252,1623125201,1,1,80,1,4,3/29/2016,2,"HOME-BUS STOP","BUS STOP-BANK",18.0-8.0,"HOME","470 Broad St #409, Hartford, CT 06106, USA",41.763062,-72.6865189,Hartford County,Hartford,90035030001,35030001,"BANK","321 Main St, Hartford, CT 06106, United States",41.7597427,-72.6753432,Hartford County,Hartford,90035003001,35003001,480,500,Tuesday,11:00,11:20,11,11,20,1,0,1,8,HBPer,9,6,9.0-9.0,walk,Walk,2,2,1,1.0-1.0,1.0-999.0,0.748130684,4,035030001-035003001,,30 Bradley Flyer< >DK
16205390,1620539001,1,2,50,4,1,3/22/2016,2,"HOME-END BUS STOP DOWNTOWN","END BUS STOP DOWNTOWN-BREAKFAST AT PANERA",9.0-9.0,"HOME","967 Asylum Ave, Hartford, CT 06105, USA",41.7709105,-72.6973561,Hartford County,Hartford,90035031001,35031001,"BREAKFAST AT PANERA","10 State House Square, Hartford, CT 06103, USA",41.76696423,-72.67294049,Hartford County,Hartford,90035021002,35021002,260,285,Tuesday,7:20,7:45,7,7,25,1,0,1,9,HBMel,9,6,9.0-1.0,walk,Walk,-99,1,0,1,35,1.892074695,7,035031001-035021002,,74 Granby St
16148082,1614808201,1,2,49,1,3,3/15/2016,2,"HOME-BUS STOP","BUS STOP-ST FRANCIS HOSPITAL",18.0-16.0,"HOME","397 Granby St, Hartford, CT 06112, USA",41.7992997,-72.7068081,Hartford County,Hartford,90035039001,35039001,"ST FRANCIS HOSPITAL","1000 Asylum Ave, Hartford, CT 06105, USA",41.7728999,-72.698625,Hartford County,Hartford,90035033001,35033001,210,305,Tuesday,6:30,8:05,6,8,95,2,1,1,16,HBPer,9,6,4.0-9.0,Bike,Walk,2,2,0,1,36,2.622806991,10,035039001-035033001,,76 Ashley St
16167398,1616739801,2,2,86,1,4,5/24/2016,2,"BROTHER'S HOUSE-BUS STOP","BUS STOP-HOME",18.0-1.0,"BROTHER'S HOUSE","200 Bonner St, Hartford, CT 06106, USA",41.7487816,-72.7028674,Hartford County,Hartford,90035049002,35049002,"HOME","3545 Main St #307, Hartford, CT 06120, USA",41.8000529,-72.6616167,Hartford County,Hartford,90035244001,35244001,530,570,Tuesday,11:50,12:30,11,12,40,1,0,14,1,HBSoc,9,6,1.0-9.0,walk,Walk,-99,1,1,1.0-1.0,30.0-11.0,6.252856373,13,035049002-035244001,,63 Hillside Ave < > 40 North Main St
16155303,1615530302,1,2,27,3,2,4/7/2016,2,"HOME-DOWNTOWN","DOWNTOWN-TICKET CENTER",18.0-8.0,"HOME","490 Tolland St, East Hartford, CT 06108, USA",41.782091,-72.6131083,Hartford County,East Hartford,90035104002,35104002,"TICKET CENTER","800 Main Street, Hartford, CT 06103, United States",41.7660852,-72.6726773,Hartford County,Hartford,90035021002,35021002,420,450,Thursday,10:00,10:30,10,10,30,1,0,1,8,HBPer,9,6,9.0-1.0,walk,Walk,-99,1,0,1,38,4.686380082,11,035104002-035021002,,82 Tolland St--Buckland Hills
16154986,1615498601,1,2,63,3,2,3/15/2016,3,"HOME-BUS STOP-DOWNTOWN HARTFORD","BUS STOP-DOWNTOWN HARTFORD-WORK",18.0-18.0-2.0,"HOME","55 Olmsted St, East Hartford, CT 06108, USA",41.7732827,-72.6350698,Hartford County,East Hartford,90035104004,35104004,"WORK","410 Capitol Ave, Hartford, CT 06106, USA",41.7641608,-72.6896511,Hartford County,Hartford,90035246004,35246004,240,290,Tuesday,7:00,7:50,7,7,50,1,0,1,2,HBW,9,6,1.0-9.0-1.0,walk,Walk,-99,1,0,1,44,4.363267162,15,035104004-035246004,,88 Burnside Ave
16155303,1615530301,11,1,28,3,2,4/7/2016,2,"MANCHESTER CVS-BURNSIDE AVENUE","BURNSIDE AVENUE-WALK TO HOME FROM BURNSIDE",18.0-1.0,"MANCHESTER CVS","972 Silver Ln, East Hartford, CT 06118, United States",41.7661997,-72.6014505,Hartford County,East Hartford,90035105001,35105001,"WALK TO HOME FROM BURNSIDE","490 Tolland St, East Hartford, CT 06108, USA",41.782091,-72.6131083,Hartford County,East Hartford,90035104002,35104002,1165,1180,Thursday,22:25,22:40,22,22,15,1,0,6,1,HBShp,9,6,9.0-1.0,walk,Walk,-99,1,0,1,45,1.550942016,5,035105001-035104002,,91 Forbes St Crosstown
16186082,1618608201,3,1,44,3,1,4/5/2016,2,"RODE BUS TO WORK-WALKED TO DOWNTOWN HARTFORD","WALKED TO DOWNTOWN HARTFORD-RODE BUS HOME",18.0-1.0,"RODE BUS TO WORK","471 Main St, East Hartford, CT 06118, USA",41.7543941,-72.6440665,Hartford County,East Hartford,90035106003,35106003,"RODE BUS HOME","336 Farmington Ave, Hartford, CT 06105, USA",41.7676483,-72.7005069,Hartford County,Hartford,90035042002,35042002,470,1175,Tuesday,10:50,22:35,10,22,705,1,0,2,1,HBW,9,6,9.0-9.0,walk,Walk,-99,1,1,1.0-1.0,48.0-27.0,3.977395771,16,035106003-035042002,,95 Glastonbury< >60 Farmington Ave/West Hartford Center
16174439,1617443901,4,1,50,1,4,3/17/2016,3,"DOCTORS-BUS STOP 2-BUS STOP 1","BUS STOP 2-BUS STOP 1-HOME",18.0-18.0-1.0,"DOCTORS","281 Main St, East Hartford, CT 06118, USA",41.742462,-72.6331211,Hartford County,East Hartford,90035107004,35107004,"HOME","200 Preston St #1, Hartford, CT 06114, USA",41.7388002,-72.6810136,Hartford County,Hartford,90035024002,35024002,425,480,Thursday,10:05,11:00,10,11,55,1,0,13,1,HBPer,9,6,1.0-9.0-1.0,walk,Walk,-99,1,0,1,48,5.634592228,12,035107004-035024002,,95 Glastonbury< >47 Franklin Ave (95 Glastonbury)
16178217,1617821702,1,2,26,4,2,4/5/2016,2,"HOME-PARK & RIDE","PARK & RIDE-WORK",18.0-2.0,"HOME","472 Hilliard St, Manchester, CT 06042, USA",41.788563,-72.545133,Hartford County,Manchester,90035142003,35142003,"WORK","100 Pearl St, Hartford, CT 06103, USA",41.7663891,-72.675037,Hartford County,Hartford,90035021001,35021001,265,295,Tuesday,7:25,7:55,7,7,30,1,5,1,2,HBW,9,6,3.0-9.0,Bike,Walk,-99,1,0,10,143,10.16314408,19,035142003-035021001,,903 Manchester-Buckland Express (express)
16107111,1610711101,5,1,47,5,4,5/10/2016,3,"NOAH WEBSTER SCHOOL, CONE STREET, HARTFORD, CT-CTFASTRAK, PARKVILLE STATION, HARTFORD, CT-CTFASTRAK, EAST STREET STATION, NEW BRITAIN, CT","CTFASTRAK, PARKVILLE STATION, HARTFORD, CT-CTFASTRAK, EAST STREET STATION, NEW BRITAIN, CT-WORK",18.0-18.0-2.0,"NOAH WEBSTER SCHOOL, CONE STREET, HARTFORD, CT","5 Cone St, Hartford, CT 06105, USA",41.76862466,-72.71214902,Hartford County,Hartford,90035245021,35245021,"WORK","1615 Stanley St, New Britain, CT 06053, United States",41.6906682,-72.7665496,Hartford County,New Britain,90034173001,34173001,315,345,Tuesday,8:15,8:45,8,8,30,1,0,10,2,WB,9,6,2.0-9.0-2.0,walk,Walk,1,2,0,9,126,10.00096625,24,035245021-034173001,,101 Hartford/New Britain
16131454,1613145401,4,1,27,5,2,3/15/2016,3,"WORK-1 UNION PL, HARTFORD, CT-107 ELLA GRASSO TPKE, WINDSOR LOCKS, CT","1 UNION PL, HARTFORD, CT-107 ELLA GRASSO TPKE, WINDSOR LOCKS, CT-HOME",18.0-19.0-1.0,"WORK","1 Hartford Plaza, Hartford, CT 06105, USA",41.769703,-72.6869808,Hartford County,Hartford,90035246002,35246002,"HOME","93 Fox Hollow Dr, Windsor Locks, CT 06096, USA",41.9176946,-72.6639621,Hartford County,Windsor Locks,90034763001,34763001,835,885,Tuesday,16:55,17:45,16,17,50,1,0,2,1,HBW,9,6,1.0-9.0-1.0,walk,Walk,-99,1,0,1,1,15.50507056,23,035246002-034763001,,30 Bradlet Flyer
16155303,1615530302,7,2,27,3,2,4/7/2016,2,"OFFICE-MAIN STREET DOWNTOWN HARTFORD","MAIN STREET DOWNTOWN HARTFORD-HOME",18.0-1.0,"OFFICE","151 Farmington Ave, Hartford, CT 06105, USA",41.766781,-72.689567,Hartford County,Hartford,90035246004,35246004,"HOME","490 Tolland St, East Hartford, CT 06108, USA",41.782091,-72.6131083,Hartford County,East Hartford,90035104002,35104002,900,945,Thursday,18:00,18:45,18,18,45,1,0,2,1,HBW,9,6,9.0-9.0,walk,Walk,-99,1,1,1.0-1.0,31.0-38.0,6.3379842,15,035246004-035104002,,64 Farmington Ave/Westfarms Mall < >82 Tolland St--Buckland Hills
16154986,1615498601,4,2,63,3,2,3/15/2016,3,"WORK-DOWNTOWN HARTFORD-BUS STOP","DOWNTOWN HARTFORD-BUS STOP-HOME",18.0-18.0-1.0,"WORK","410 Capitol Ave, Hartford, CT 06106, USA",41.7641608,-72.6896511,Hartford County,Hartford,90035246004,35246004,"HOME","55 Olmsted St, East Hartford, CT 06108, USA",41.7732827,-72.6350698,Hartford County,East Hartford,90035104004,35104004,750,810,Tuesday,15:30,16:30,15,16,60,1,0,2,1,HBW,9,6,9.0-9.0-1.0,transfer,Walk,-99,1,1,36.0-1.0,998.0-38.0,4.176234491,15,035246004-035104004,,63 or 61< >82 Tolland St--Buckland Hills (other< >82)
16154294,1615429401,4,2,62,1,1,4/20/2016,2,"MCDONALDS-DOWNTOWN","DOWNTOWN-HOME",18.0-1.0,"MCDONALDS","507 Flatbush Ave, Hartford, CT 06106, United States",41.7421124,-72.7125614,Hartford County,Hartford,90035247003,35247003,"HOME","1132 Albany Ave #314, Hartford, CT 06112, USA",41.7818021,-72.6951772,Hartford County,Hartford,90035014001,35014001,480,540,Wednesday,11:00,12:00,11,12,60,1,0,9,1,HBMel,9,6,9.0-9.0,walk,transfer,-99,1,1,9.0-1.0,129.0-22.0,4.624242982,12,035247003-035014001,,128 Hartford/Westfarms-New Britain via Stanley St< >54 Blue Hills Ave - Blue Hills Extension
16136037,1613603701,1,1,53,1,1,4/26/2016,3,"HOME-BUS STOP-TRAVELERS","BUS STOP-TRAVELERS-BREAKFAST",18.0-18.0-9.0,"HOME","8 Liberty St, Middletown, CT 06457, USA",41.564058,-72.6522888,Middlesex County,Middletown,90075411002,75411002,"BREAKFAST","Main St & Asylum St, Hartford, CT 06103, USA",41.7664945,-72.673198,Hartford County,Hartford,90035021001,35021001,270,330,Tuesday,7:30,8:30,7,8,60,1,0,1,9,HBMel,9,6,1.0-9.0-1.0,walk,Walk,-99,1,0,1,23,17.15232508,22,075411002-035021001,,55 Middletown
16191664,1619166401,1,1,60,5,4,4/28/2016,2,"HOME-COMMUTER LOT EXIT MIDDLETOWN 12, RTE 9","COMMUTER LOT EXIT MIDDLETOWN 12, RTE 9-PEARL ST, HARTFORD, BY BUS",18.0-2.0,"HOME","6 Sea View Ave, Old Saybrook, CT 06475, USA",41.2796204,-72.3914538,Middlesex County,Old Saybrook,90076702002,76702002,"PEARL ST, HARTFORD, BY BUS","City Place I, 185 Asylum St, Hartford, CT 06103, USA",41.76697623,-72.67640054,Hartford County,Hartford,90035021001,35021001,195,255,Thursday,6:15,7:15,6,7,60,1,0,1,2,HBW,9,6,3.0-9.0,Bike,Walk,-99,1,0,10,156,44.21613899,47,076702002-035021001,,921 Middletown/Old Saybrook Express (express)
16122589,1612258902,1,2,44,5,2,5/18/2016,2,"HOME-COMMUTER LOT","COMMUTER LOT-WORK",18.0-2.0,"HOME","138 Monmouth Ave, Waterbury, CT 06704, USA",41.58337,-73.056269,New Haven County,Waterbury,90093522001,93522001,"WORK","1 Atheneum Square, Hartford, CT 06183, United States",41.7641689,-72.672793,Hartford County,Hartford,90035021002,35021002,165,240,Wednesday,5:45,7:00,5,7,75,2,0,1,2,HBW,9,6,3.0-9.0,Bike,7,-99,1,0,9,138,34.36305904,38,093522001-035021002,,925 Waterbury Express (express)
16155641,1615564101,1,1,49,4,2,4/7/2016,2,"HOME-COMMUTER LOT","COMMUTER LOT-WORK",18.0-2.0,"HOME","124 Jaffee Terrace, Colchester, CT 06415, USA",41.580315,-72.33224,New London County,Colchester,90117141012,117141012,"WORK","Pearl St & Trumbull St, Hartford, CT 06103, USA",41.766376,-72.6760167,Hartford County,Hartford,90035021001,35021001,105,225,Thursday,4:45,6:45,4,6,120,1,0,1,2,HBW,9,6,3.0-9.0,Bike,Walk,6,2,0,10,151,27.88402363,36,117141012-035021001,,914 Marlborough/Colchester Express (express)
16227645,1622764502,1,1,52,4,2,3/29/2016,2,"HOME-BOLTON PARK & RIDE","BOLTON PARK & RIDE-WORK",18.0-2.0,"HOME","14 Times Farm Rd, Andover, CT 06232, USA",41.759778,-72.3986259,Tolland County,Andover,90135281001,135281001,"WORK","151 Farmington Ave, Hartford, CT 06105, USA",41.766781,-72.689567,Hartford County,Hartford,90035246004,35246004,225,270,Tuesday,6:45,7:30,6,7,45,1,5,1,2,HBW,9,6,3.0-9.0,Bike,Walk,-99,1,0,10,154,17.94643722,22,135281001-035246004,,918 Willimantic/Coventry Express (express)
16102280,1610228001,1,2,39,3,4,5/5/2016,2,"HOME-DOWNTOWN HARTFORD","DOWNTOWN HARTFORD-WETHERSFIELD DMV",18.0-8.0,"HOME","704 Talcottville Rd, Vernon, CT 06066, United States",41.8598209,-72.4835885,Tolland County,Vernon,90135303011,135303011,"WETHERSFIELD DMV","60 State St, Wethersfield, CT 06109, United States",41.7186626,-72.655754,Hartford County,Wethersfield,90034921003,34921003,250,355,Thursday,7:10,8:55,7,8,105,1,0,1,8,HBPer,9,6,9.0-9.0,walk,transfer,4,2,1,1.0-1.0,40.0-21.0,18.52866185,25,135303011-034921003,,84 Tolland St - Rockville< > 53 Wethersfield Ave
16235738,1623573801,2,1,37,2,2,5/3/2016,2,"MAIL BOX-GREEN CIRCLE COMMUTER LOT","GREEN CIRCLE COMMUTER LOT-WORK",18.0-2.0,"MAIL BOX","50-98 Mt Vernon Dr, Vernon, CT 06066, USA",41.85296469,-72.44242609,Tolland County,Vernon,90135304002,135304002,"WORK","92 Farmington Ave, Hartford, CT 06105, USA",41.7684904,-72.6894704,Hartford County,Hartford,90035246004,35246004,255,295,Tuesday,7:15,7:55,7,7,40,1,0,8,2,WB,9,6,3.0-9.0,Bike,Walk,-99,1,0,10,153,15.65792783,24,135304002-035246004,,917 Tolland-Vernon Express (express)
